OLD_CODE;NEW_CODE
glet_clt_1911_sp;pnevmaticheskiy_pistolet_gletcher_clt_1911sp
glet_gl_w_3000;pnevmaticheskiy_pistolet_gletcher_gl_w3000
glet_cmb;pnevmaticheskiy_pistolet_gletcher_cmb
glet_jrh_941;pnevmaticheskiy_pistolet_gletcher_jrh_941
glet_ss_gsr;pnevmaticheskiy_pistolet_gletcher_ss_gsr
glet_ss_p226_s5;pnevmaticheskiy_pistolet_gletcher_ss_p226_s5
glet_ss_p232_l;pnevmaticheskiy_pistolet_gletcher_ss_p232l
glet_ngt_b;revolver_pnevmaticheskiy_gletcher_ngt
mr_654k_22_sf;pnevmaticheskiy_pistolet_makarova_mr_654k_22_s_falshglushitelem
glet_sw_mp_pl;pnevmaticheskiy_pistolet_gletcher_sw_mp_plastik
glet_uzm;pistolet_pulemet_pnevmaticheskiy_gletcher_uzm
glet_sw_r25;revolver_pnevmaticheskiy_gletcher_sw_r25
glet_sw_r4;revolver_pnevmaticheskiy_gletcher_sw_r4
glet_sw_r6;revolver_pnevmaticheskiy_gletcher_sw_r6
glet_sw_r8;revolver_pnevmaticheskiy_gletcher_sw_r8
glet_cst_304;pnevmaticheskiy_pistolet_gletcher_cst_304
glet_ss_2202_pl;pnevmaticheskiy_pistolet_gletcher_ss_2202_plastik
glet_ss_2202_m;pnevmaticheskiy_pistolet_gletcher_ss_2202_metall
glet_aps_nbb;pnevmaticheskiy_pistolet_gletcher_aps_nbb
glet_sw_mp_m;pnevmaticheskiy_pistolet_gletcher_sw_mp_metall
glet_trs_24_7_m;pnevmaticheskiy_pistolet_gletcher_trs_24_7_metall
glet_tt_nbb;pnevmaticheskiy_pistolet_gletcher_tt_nbb
glet_grac_nbb;pnevmaticheskiy_pistolet_gletcher_grach_nbb
glet_sw_b25;pnevmaticheskiy_pistolet_revolver_gletcher_sw_b25
glet_sw_b4;revolver_pnevmaticheskiy_gletcher_sw_b4
um-bro-ph;pnevmaticheskaya_vintovka_umarex_browning_phoenix_elite
um-bro-lev;pnevmaticheskaya_vintovka_umarex_browning_leverage
u-w-lgv;pnevmaticheskaya_vintovka_umarex_walther_lgv_competition_ultra
uma-air-haw;pnevmaticheskaya_vintovka_umarex_ruger_air_hawk
u-br-ph-hun;pnevmaticheskaya_vintovka_umarex_browning_phoenix_hunter
mr_512_24;pnevmaticheskaya_vintovka_mr_512_24
mr_651k_01k;pnevmaticheskiy_pistolet_mr_651k_01_kornet
mr-661-ks-02;pnevmaticheskiy-pistolet-drozd-mr-661ks-02
c-300;pnevmaticheskaya_vintovka_cometa_300
eva-sp-shb;pnevmaticheskaya_vintovka_evanix_speed_shb
eva-m-pre;pnevmaticheskaya_vintovka_evanix_monster_premium_sl_shb
eva-bl-leo;pnevmaticheskaya_vintovka_evanix_black_leopard
sm-r3;pnevmaticheskaya_vintovka_smersh_r3
sm-r2;pnevmaticheskaya_vintovka_smersh_r2
sm-r1;pnevmaticheskaya_vintovka_smersh_r1
c-3000;pnevmaticheskaya_vintovka_cometa_3000
com-220;pnevmaticheskaya_vintovka_cometa_220
edg-lel;pnevmaticheskaya_vintovka_edgun_lelya_sverkhkompaktnaya_odnozaryadnaya
ev-con-shb;pnevmaticheskaya_vintovka_evanix_conquest_shb
eva-ain-sto;pnevmaticheskaya_vintovka_evanix_rain_storm_sl_shb
eva-bliz-s10;pnevmaticheskaya_vintovka_evanix_blizzard_s10_sl_shb
cyb-tan-wit-1911;pnevmaticheskiy_pistolet_tanfoglio_witness_1911
cyb_sig_2022_nik;pnevmaticheskiy_pistolet_cybergun_sig_sauer_sp_2022_metallicheskiy_zatvor_nikel
cyb_2022_pl_nik;pnevmaticheskiy_pistolet_cybergun_sig_sauer_sp_2022_plastik_pod_nikel
cyb-colt-1911-bm;pnevmaticheskiy-pistolet-cybergun-tanfoglio-colt-1911-blowback-metall
cyb-p226-x-five;pnevmaticheskiy-pistolet-cybergun-p226-x-five-blowback
cyb_mini_uzi;pnevmaticheskiy_pistolet_cybergun_mini_uzi
cyb_gsr_1911;pnevmaticheskiy_pistolet_cybergun_gsr_1911
asg_dan_wes_6;pnevmaticheskiy_pistolet_asg_dan_wesson_6
asg-st-d-one-b;pnevmaticheskiy-pistolet-asg-sti-duty-one-blowback
asg_cz_75d_c;pnevmaticheskiy_pistolet_asg_cz_75_d_compact_plastik
asg_stm9_a1m;pnevmaticheskiy_pistolet_asg_steyr_m9_a1_metallicheskiy_zatvor
asg_mann_m9_a1;pnevmaticheskiy_pistolet_asg_steyr_mannlicher_m9_a1_plastikovyy_zatvor
asg_cz_75d_met;pnevmaticheskiy_pistolet_asg_cz_75_d_compact_plastik_podvizhnyy_nikelirovannyy_metallicheskiy_zatvor
